naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
BILJ.MEDALJ.PILET. POP 230 g;378152;Pik;0.2300;kg;5.49;23.87;;;02.05.2025;5.49;3850139284461;Hrana
SRE.PINK STUFF ZA ÈI.3X100 g;378154;;0.3000;KG;6.99;23.30;;;02.05.2025;6.99;5060033821664;Sredstva za èi¹æenje
PASTA PINK STUFF ZA ÈI©Æ.850 g;378157;;0.8500;KG;4.49;5.28;;;02.05.2025;4.49;5060033821114;Sredstva za èi¹æenje
OMEK.ORNEL GLOW 800 ml;378186;Ornel;0.8000;l;2.19;2.74;;1.99;02.05.2025;3.29;3850105186522;Sredstva za èi¹æenje
KREMA COXIR  CRNI PU® OÈ 30 ml;378193;COXIR;0.0300;l;19.99;666.33;;;02.05.2025;19.99;8809080826317;Kozmetika
SERUM COXIR  CRNI PU® 50 ml;378195;COXIR;0.0500;L;16.99;339.80;;;02.05.2025;16.99;8809080826195;Kozmetika
ULJE  COXIR HYLAR.ÈI©Æ. 150 ml;378198;COXIR;0.1500;l;17.99;119.93;;;02.05.2025;17.99;8809080826348;Kozmetika
OMEK©.ORNEL LUNAR 1,6 L;378199;Ornel;1.6000;l;4.99;3.12;;;02.05.2025;4.99;3850105186584;Sredstva za èi¹æenje
MASKA  ZA LICE MIZON CICLAURO.;378200;Mizon;1.0000;KOM;3.29;3.29;;;02.05.2025;3.29;8809663752675;Kozmetika
OMEK©.ORNEL GLOW 1,6 L;378201;Ornel;1.6000;l;4.99;3.12;;;02.05.2025;4.99;3850105186614;Sredstva za èi¹æenje
MASKA MIZON ZA LICE PORE ;378202;Mizon;1.0000;KOM;3.89;3.89;;;02.05.2025;3.89;8809663754198;Kozmetika
DET.NILA MY PINK  2,7 L;378203;Ornel;2.7000;l;7.95;2.94;;;02.05.2025;4.59;3850105186874;Sredstva za èi¹æenje
BALZAM MIZON ZA ÈI©.LICA 80 g;378205;Mizon;0.0800;L;22.89;286.13;;;02.05.2025;22.89;8809606850345;Kozmetika
KREMA MIZON ZA LI.CICALU 50 ml;378206;Mizon;0.0500;l;29.99;599.80;;;02.05.2025;29.99;8809663753818;Kozmetika
PIÆE GRIN GUAVA 0,5 L;378207;;0.5000;L;2.02;4.04;;;02.05.2025;2.02;3858895210267;Piæa
MASKA  ZA LICE MIZON SMOKVA ;378208;Mizon;1.0000;KOM;2.79;2.79;;;02.05.2025;2.79;8809663755492;Kozmetika
MASKA  ZA LICE MIZON KAMELIJA ;378209;Mizon;1.0000;KOM;2.79;2.79;;;02.05.2025;2.79;8809663755461;Kozmetika
MASKA  ZA LICE MIZON SRCE LI.;378210;Mizon;1.0000;KOM;2.79;2.79;;;02.05.2025;2.79;8809663755508;Kozmetika
GIN GORD.PASS.FRU. 0,7 L;378212;;0.7000;L;21.99;31.41;;;02.05.2025;21.89;5000289934800;Piæa
MASKA ZA KOS.CRAZY HAIR 300 ml;378217;;0.3000;L;7.99;26.63;;;02.05.2025;7.99;5907775547127;Kozmetika
PANIRANI PROTEIN ODRESCI 250 g;378220;Cekin;0.2500;kg;4.99;19.96;;;02.05.2025;4.99;3850159141102;Hrana
WHISKEY SHAN.WHIP 0,7 L;378221;;0.7000;L;28.02;40.03;;;02.05.2025;28.02;0810035510104;Piæa
SALVETE 33x33cm NOGOMET ;378223;;20.0000;kom;1.99;0.10;;;02.05.2025;1.99;5906664005557;Proizvodi za kuæanstvo
MASKA ZA KOS.CRAZY HAIR 300 ml;378226;;0.3000;L;7.99;26.63;;;02.05.2025;7.99;5907775547134;Kozmetika
SERUM CRAZY HAIR ZA KOSU 50 ml;378227;;0.0500;L;6.99;139.80;;;02.05.2025;6.99;5907775548063;Kozmetika
SPREJ CRAZY HAIR ZAST.T.100 ml;378228;;0.1000;l;7.99;79.90;;;02.05.2025;7.99;5907775548070;Kozmetika
ULJE CRAZY HAIR ZA KOS.100 ml;378229;;0.1000;L;6.99;69.90;;;02.05.2025;6.99;5907775546380;Kozmetika
VINO AR.STARLINO ELDEL. 0,75 L;378230;;0.7500;L;16.02;21.36;;;02.05.2025;16.02;0810035510852;Piæa
©AMP.CRAZY HAIR 300 ml;378231;;0.3000;l;6.99;23.30;;;02.05.2025;6.99;5907775546328;Kozmetika
©AMP.CRAZY HAIR 300 ml;378232;;0.3000;l;6.99;23.30;;;02.05.2025;6.99;5907775546335;Kozmetika
VINO AR.STAR.ROSE 0,75 L;378233;;0.7500;L;16.02;21.36;;;02.05.2025;16.02;0810035510043;Piæa
REG.CRAZY HAIR KOKOS 300 ml;378235;;0.3000;L;6.99;23.30;;;02.05.2025;6.99;5907775546489;Kozmetika
GIN TON.OL.TO.PI. 0,25 L;378237;;0.2500;L;1.72;6.88;;;02.05.2025;1.72;8586019225570;Piæa
REG.CRAZY HAIR  ÈOKOL.250 ml;378239;;0.2500;L;6.99;27.96;;;02.05.2025;6.99;5907775546373;Kozmetika
GIN TON.OLD TOW.D 0,25 L;378240;;0.2500;L;1.72;6.88;;;02.05.2025;1.72;8586019225563;Piæa
REG.CRAZY HAIR  BANANA 250 ml;378241;;0.2500;L;6.99;27.96;;;02.05.2025;6.99;5907775546366;Kozmetika
REG.CRAZY HAIR  BUB.GUM 250 ml;378243;;0.2500;L;6.99;27.96;;;02.05.2025;6.99;5907775546359;Kozmetika
PILING CRAZY HAIR ZA KO.100 ml;378244;;0.1000;l;6.99;69.90;;;02.05.2025;6.99;5907775546410;Kozmetika
