"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"SOLNA KISELINA 1L";"005547501";"DEXAL";1;"LT";0.99;0.99;0;0;0;0.99;"80113430";"SREDSTVA ZA ČIŠĆENJE"
"JUNEĆA PREDNJA ČETVRT S POTRBUŠINOM";"005639701";"NO BRAND";1;"KG";9.17;9.17;0;0;0;9.17;"";"MESO GOVEĐE"
"JUNEĆA POTRBUŠINA.";"005639901";"NO BRAND";1;"KG";10.7;10.7;0;0;0;10.7;"";"MESO GOVEĐE"
"JUNEĆE TRIPICE KUHANE REZANE";"005641401";"NO BRAND";1;"KG";6.88;6.88;0;0;0;6.88;"";"IZNUTRICE"
"JUNEĆI JEZIK";"005641701";"NO BRAND";1;"KG";5.69;5.69;0;0;0;5.69;"";"IZNUTRICE"
"JUNEĆE SRCE.";"005641801";"NO BRAND";1;"KG";2.81;2.81;0;0;0;2.81;"";"IZNUTRICE"
"JUNEĆA JETRA.";"005641901";"NO BRAND";1;"KG";3.67;3.67;0;0;0;3.67;"";"IZNUTRICE"
"PILEĆE PRSI SKK";"005642401";"NO BRAND";1;"KG";5.73;5.73;0;0;0;5.73;"";"MESO PERADI"
"SVINJSKA KOLJENICA";"005651301";"NO BRAND";1;"KG";3.97;3.97;0;0;0;3.97;"";"MESO SVINJSKO"
"SVINJSKA JETRA";"005651401";"NO BRAND";1;"KG";2.08;2.08;0;0;0;2.08;"";"IZNUTRICE"
"PUREĆA KRILA MAP";"005690301";"LA COLLINA DELLE BONTA'";1;"KG";3.89;3.89;0;0;0;3.89;"";"MESO PERADI"
"PUREĆI BATAK I ZABATAK";"005699401";"NO BRAND";1;"KG";4.27;4.27;0;0;0;4.27;"";"MESO PERADI"
