Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
RAJCICA PELATI 400 G ITALDORO;052245;ITALDORO;0,400 KG;KOM;,89;2,23;;;,99;8009755006567;HRANA;
SLANUTAK 400 G  ITALDORO;052251;ITALDORO;0,400 KG;KOM;,85;2,13;;;,85;8009755006901;HRANA;
DUPLI KONCENTRAT RAJCICE 130 G MUTTI;052305;MUTTI;0,130 KG;KOM;1,59;12,23;;;1,59;80042532;HRANA;
UMAK PIZZA 400 G MUTTI;052306;MUTTI;0,400 KG;KOM;2,19;5,48;;;2,19;8005110551215;HRANA;
RAJCICA PASIRANA 700 G BASILICO MUTTI;052309;MUTTI;0,700 KG;KOM;3,39;4,84;;;3,39;8005110191015;HRANA;
PASIRANA RAJCICA 400 ML MUTTI BOCA;052339;MUTTI;0,400 L;KOM;1,79;4,48;;;1,79;8005110630408;HRANA;
PASIRANA RAJCICA 500 ML CIRIO;052353;CIRIO;0,500 KG;KOM;1,09;2,18;;;1,09;8000320990113;HRANA;
PASIRANA RAJCICA ST.680 G PODRAVKA;052376;PODRAVKA PRERADJEVINE OD POVRCA;0,680 KG;KOM;2,59;3,81;;;2,59;3850104242915;HRANA;
PELATI 400 G CIRIO;052398;CIRIO;0,250 KG;KOM;1,46;5,84;;;1,46;8000320010026;HRANA;
TABASCO ZELENI 60 ML;052406;MC ILHENNY TABASCO;0,060 L;KOM;4,64;77,33;;;4,64;011210009530;HRANA;
RAJCICA SJEC.400 G MUTTI;052414;MUTTI;0,400 KG;KOM;1,79;4,48;;;1,79;80042556;HRANA;
PELAT RAJCICE 400 G MUTTI;052429;MUTTI;0,260 KG;KOM;1,79;6,88;;;1,79;85469300018;HRANA;
AJVAR LJUTI 195 G PODRAVKA STAKLO;052434;PODRAVKA PRERADJEVINE OD POVRCA;0,195 KG;KOM;1,85;9,49;;;1,85;3850104022524;HRANA;
AJVAR BLAGI 195 G PODRAVKA STAKLO;052435;PODRAVKA PRERADJEVINE OD POVRCA;0,195 KG;KOM;1,85;9,49;;;1,85;3850104022517;HRANA;
AJVAR BLAGI 690 G VITAMINKA;052436;VITAMINKA;0,690 KG;KOM;5,09;7,38;;;5,09;3870545000288;HRANA;
PAPRIKA FILET ZUTA 650 G VITAMINKA;052474;VITAMINKA;0,650 KG;KOM;3,59;5,52;;;3,59;3870545000110;HRANA;
PREBRANAC 415 G NATURETA;052501;NATURETA;0,415 KG;KOM;3,52;8,48;;;3,52;3831029509420;HRANA;
PASIR.RAJCICA 500 ML BRIK PODRAVKA;052519;PODRAVKA PRERADJEVINE OD POVRCA;0,500 L;KOM;1,09;2,18;;;1,09;3850104073656;HRANA;
AJVAR BLAGI 350 G PODRAVKA STAKLO;052521;PODRAVKA PRERADJEVINE OD POVRCA;0,350 KG;KOM;2,49;7,11;;;2,49;3850104051029;HRANA;
AJVAR  BLAGI 690 G  PODRAVKA STAKLO;052531;PODRAVKA PRERADJEVINE OD POVRCA;0,690 KG;KOM;3,69;5,35;;;3,99;3850104051012;HRANA;
UMAK S MASLINAMA 400 G BARILLA;052571;BARILLA UMACI;0,400 KG;KOM;3,75;9,38;;;3,75;8076809513715;HRANA;
UMAK BOLOGNESE 400 G BARILLA;052576;BARILLA UMACI;0,400 KG;KOM;4,59;11,48;;;4,59;8076809513678;HRANA;
UMAK ARRABBIATA 190 G SACLA;052593;SACLA;0,190 KG;KOM;2,99;15,74;;;2,99;8001060001930;HRANA;
UMAK PRIPREMA ZA BOLOGNESE 400 G BARILLA;052621;BARILLA UMACI;0,400 KG;KOM;;4,48;1,79;3,29;3,29;8076809513654;HRANA;
MAHUNA 420 G PODRAVKA LIMENKA;052723;PODRAVKA KONZERVIRANO POVRCE;0,180 KG;KOM;1,59;8,83;;;1,59;3850104050015;HRANA;
GRASAK 400 G  ITALDORO;052915;ITALDORO;0,400 KG;KOM;,75;1,88;;;,95;8009755006703;HRANA;
RAJCICA SJECKANA 400 G CIRIO;052927;CIRIO;0,400 KG;KOM;1,19;2,98;;;1,19;8000320010118;HRANA;
DZEM SW EXTRA BOROVNICA 340 G;053039;SCHWARTAU DZEMOVI;0,340 KG;KOM;4,95;14,56;;;4,95;4011800840815;HRANA;
DZEM SW EXTRA SUMSKO VOCE 340 G;053040;SCHWARTAU DZEMOVI;0,340 KG;KOM;4,95;14,56;;;4,95;4011800841812;HRANA;
MARM.MARELICA 1KG FRUBY;053055;;1 KG;KOM;2,79;2,79;;;2,79;3871050001142;HRANA;
DZEM SW EXTRA VISNJA 340 G;053061;SCHWARTAU DZEMOVI;0,340 KG;KOM;4,89;14,38;;;4,89;4011800841416;HRANA;
DZEM SW EXTRA MARELICA 340 G;053065;SCHWARTAU DZEMOVI;0,340 KG;KOM;4,99;14,68;;;4,99;4011800840310;HRANA;
DZEM SW EXTRA JAGODA 340 G;053066;SCHWARTAU DZEMOVI;0,340 KG;KOM;4,65;13,68;;;4,65;4011800840518;HRANA;
DZEM SW EXTRA NARANCA 340 G;053068;SCHWARTAU DZEMOVI;0,340 KG;KOM;3,85;11,32;;;3,85;4011800841119;HRANA;
DZEM OD JAGODE 370 G BONNE MAMAN;053187;BONNE MAMAN;0,370 KG;KOM;;9,76;3,61;4,52;6,49;3608580705130;HRANA;
DZEM MARELICA 370 G BONNE MAMAN;053188;BONNE MAMAN;0,370 KG;KOM;;8,70;3,22;4,03;5,69;3608580705116;HRANA;
KONC.RAJCICA 190 G TUBA PODRAVKA;053304;PODRAVKA PRERADJEVINE OD POVRCA;0,190 KG;KOM;2,19;11,53;;;2,19;3850104053221;HRANA;
KONC.RAJCICA 120 G TUBA PODRAVKA;053305;PODRAVKA PRERADJEVINE OD POVRCA;0,120 KG;KOM;1,89;15,75;;;1,89;3850104053214;HRANA;
DZEM MARELICA 20 G PODRAVKA PVC;053315;PODRAVKA PRERADJEVINE OD VOCA;0,020 KG;KOM;,39;19,50;;;,39;3850104264498;HRANA;
UMAK PESTO GENOVESE 190 G BARILLA;053411;BARILLA UMACI;0,190 KG;KOM;4,59;24,16;;;4,59;8076809513746;HRANA;
DZEM BRESKVA 370 G BONNE MAMAN;053600;BONNE MAMAN;0,370 KG;KOM;;8,70;3,22;4,03;5,69;3608580705185;HRANA;
KOMPOT BRESKVA 820 G PODRAVKA KONZERVA;053800;PODRAVKA PRERADJEVINE OD VOCA;0,470 KG;KOM;3,99;8,49;;;3,99;3850104026973;HRANA;
KOMPOT MJESAVINA VOCA U SOKU 420 G DEL MONTE;053822;DEL MONTE;0,250 KG;KOM;1,89;7,56;;;2,15;024000024675;HRANA;
KOMPOT ANANAS KOMADICI U SOKU 565 G DEL MONTE;053828;DEL MONTE;0,350 KG;KOM;2,89;8,26;;;2,89;024000001645;HRANA;
KOMPOT ANANAS KOLUT  U SIRUPU 570 G DEL MONTE;053833;DEL MONTE;0,570 KG;KOM;3,35;5,88;;;3,35;024000012313;HRANA;
KOMPOT MARELICE LIGHT 820 G PODRAVKA KONZERVA;053839;PODRAVKA PRERADJEVINE OD VOCA;0,470 KG;KOM;3,99;8,49;;;3,99;3850104027246;HRANA;
KOMPOT VOC.KOKTEL LIGHT 800 G;053842;PODRAVKA PRERADJEVINE OD VOCA;0,470 KG;KOM;4,29;9,13;;;4,29;3850104027253;HRANA;
KOMPOT ANANAS KOLUT U SOKU  565 G DEL MONTE;053893;DEL MONTE;0,350 KG;KOM;3,69;10,54;;;3,69;024000011859;HRANA;
TABASCO CRVENI 60 ML;054501;MC ILHENNY TABASCO;0,060 L;KOM;4,59;76,50;;;4,59;011210000018;HRANA;
MED CVJETNI 900 G PIP STAKLO;054670;PIP;0,900 KG;KOM;6,99;7,77;;;6,99;3859888500013;HRANA;
MED CVJETNI 450 G PIP STAKLO;054671;PIP;0,450 KG;KOM;4,79;10,64;;;4,91;3859888500020;HRANA;
MED BAGREM 900 G PIP STAKLO;054673;PIP;0,900 KG;KOM;9,79;10,88;;;10,22;3859888500044;HRANA;
MED BAGREM 450 G PIP STAKLO;054674;PIP;0,450 KG;KOM;6,24;13,87;;;6,24;385988850005;HRANA;
MED LIPA 900 G PIP STAKLO;054676;PIP;0,900 KG;KOM;11,99;13,32;;;13,01;3859888500075;HRANA;
MED LIPA 450 G PIP STAKLO;054677;PIP;0,450 KG;KOM;7,56;16,80;;;7,56;3859888500082;HRANA;
MED CVJETNI 20 G PODRAVKA PVC;054681;PODRAVKA PRERADJEVINE OD VOCA;0,020 KG;KOM;,41;20,50;;;,41;38500213;HRANA;
MED CVJETNI 250 G APIMEL;054738;APIMEL MED;0,250 KG;KOM;2,92;11,68;;;2,92;3859888851085;HRANA;
MED BAGREM 250 G APIMEL;054741;APIMEL MED;0,250 KG;KOM;3,3;13,20;;;3,71;3859888851030;HRANA;
MED BAGREM 450 G APIMEL;054742;APIMEL MED;0,450 KG;KOM;7,03;15,62;;;7,03;3859888851023;HRANA;
MED LIPA 450 G APIMEL;054744;APIMEL MED;0,450 KG;KOM;6,2;13,78;;;6,9;3859888851054;HRANA;
MED LIPA 900 G APIMEL;054745;APIMEL MED;0,900 KG;KOM;11,94;13,27;;;11,94;3859888851047;HRANA;
MED KESTEN 900 G APIMEL;054747;APIMEL MED;0,900 KG;KOM;13,27;14,74;;;13,27;3859888851108;HRANA;
HRANA ZA PSE PIL/PUR 1250 G MIGLIORCANE;070308;MORANDO;1,25 KG;KOM;1,99;1,59;;;1,99;8007520011549;HRANA;
CESNJAK 250 G;100002;;0,250 KG;KOM;1,59;6,36;;;1,59;3859893060014;HRANA;
BANANA SORTA CAVENDISH;100101;;;KG;,95;;;;1,44;;HRANA;
DINJA PIEL DE SAPO;100107;;;KG;2,49;;;;1,59;;HRANA;
SALATA RUKOLA 100 G;100109;;0,100 KG;KOM;,89;8,90;;;,89;8028495000529;HRANA;
LECA CRVENA 500 G MARIJAN VOCE;100116;NATURA;0,500 KG;KOM;2,25;4,50;;;2,25;3859890587019;HRANA;
SALATA SFIZIOSA 200 G;100118;;0,200 KG;KOM;1,19;5,95;;;1,19;8012566404149;HRANA;
GRAH CRNI 500 G VEDRINI;100124;VEDRINI SUHO PAKIRANO;0,500 KG;KOM;1,52;3,04;;;1,52;3859890630692;HRANA;
ORAH JEZGRA 500 G;100132;EUROCOMPANY IN OUT;0,500 KG;KOM;6,5;13,00;;;6,5;3872084013422;HRANA;
ORAH MLJEVENI 200 G NATURA MARIJAN VOCE;100141;NATURA;0,200 KG;KOM;2,49;12,45;;;2,49;3859890587347;HRANA;
KRUMPIR 2,5 KG- LICKI;100143;;2,5 KG;KOM;3,49;1,40;;;3,49;3859893072024;HRANA;
NARANCA NATALIA NAVELINA;100203;;;KG;1,79;;;;1,79;;HRANA;
NARANCA NAVELINA 2KG;100209;;2 KG;KOM;2,49;1,25;;;2,49;8029977002314;HRANA;
SALATA POKER 200 G;100253;;0,200 KG;KOM;1,49;7,45;;;1,49;8012566202424;HRANA;
MAK MLJEVENI 200 G MARIJAN VOCE;100256;NATURA;0,200 KG;KOM;2,34;11,70;;;2,34;3859890587354;HRANA;
LUK MLADI - VEZANI;100260;;;KOM;;;,55;,49;,79;;HRANA;
SLANUTAK 500 G MARIJAN VOCE PVC;100270;NATURA;0,500 KG;KOM;2,29;4,58;;;2,29;3859890587026;HRANA;
LIMUN PRIMOFIORI NATALIA 500 G;100294;;0,500 KG;KOM;,99;1,98;;;,99;8437022068602;HRANA;
LIMUN MEYER;100302;;;KG;1,49;;;;1,49;;HRANA;
LIMUN PRIMOFIORI 500 G;100303;;0,500 KG;KOM;,99;1,98;;;,99;40529632126;HRANA;
LIMETA;100309;;;KG;2,49;;;;2,49;2010030900001;HRANA;
LIMUN VERNA 500 G;100313;;0,500 KG;KOM;1,09;2,18;;;1,09;40529632102;HRANA;
BADEM JEZGRA 500 G;100323;EUROCOMPANY IN OUT;0,500 KG;KOM;7,15;14,30;;;5,99;3872084014696;HRANA;
LIMUN VERNA NATALIA 500 G;100327;;0,500 KG;KOM;1,09;2,18;;;1,09;843702206867;HRANA;
KISKO- CIKLA  820G;100357;;0,820 KG;KOM;2,49;3,04;;;2,49;3859890799122;HRANA;
KISKO- TURSIJA 800 G;100362;;0,800 KG;KOM;3,39;4,24;;;3,39;3859890799115;HRANA;
GREJP CRVENI;100404;;;KG;1,79;;;;1,69;;HRANA;
MRKVA 500 G;100406;;0,500 KG;KOM;,99;1,98;;;,99;3859893211331;HRANA;
KIVI PAKIRANI 1 KG;100509;;1 KG;KOM;2,49;2,49;;;2,49;8099999001855;HRANA;
KIWI RFS;100511;;;KG;3,49;;;;2,79;8057960791211;HRANA;
NARANCA VALENCIA 2KG;100526;;2 KG;KOM;2,49;1,25;;;2,49;4052963112234;HRANA;
ANANAS;100601;;;KG;2,19;;;;2,19;8057960790078;HRANA;
JABUKA IDARED;100907;;;KG;1,49;;;;1,39;;HRANA;
JABUKA MLADA;100908;;;KG;1,19;;;;1,19;;HRANA;
POVRCE ZA JUHU 350 G;100920;;0,350 KG;KOM;,89;2,54;;;,89;3859891136230;HRANA;
POVRCE ZA JUHU 500 G;100928;;0,500 KG;KOM;1,29;2,58;;;1,29;3859892234171;HRANA;
SAMPINJONI 500 G BIJELI;100929;;0,500 KG;KOM;1,89;3,78;;;1,89;5907700040082;HRANA;
LUK ZUTI 1 KG;100930;;1 KG;KOM;,89;0,89;;;,89;3857500111555;HRANA;
JABUKA CRVENI DELISES;101004;;;KG;1,59;;;;1,59;8057960790061;HRANA;
JABUKA GRANNY SMITH;101014;;;KG;1,69;;;;1,69;;HRANA;
JABUKA ROYAL GALA;101020;;;KG;1,49;;;;1,39;;HRANA;
JABUKA IDARED PODLOZAK;101033;;;KOM;1,69;;;;1,69;3859893211195;HRANA;
JABUKA ZL.DEL.  PODLOZAK;101034;;;KOM;1,69;;;;1,69;3859893211201;HRANA;
JABUKA ZELENA 2 KG;101068;MIRIS TRADICIJE;2 KG;KOM;2,19;1,10;;;2,19;3856025883275;HRANA;
JABUKA CRVENA 2 KG;101069;MIRIS TRADICIJE;2 KG;KOM;2,19;1,10;;;2,19;3856025883268;HRANA;
JABUKA PINK LADY;101078;;;KG;1,99;;;;1,99;;HRANA;
DOMACA JAGODA 500G;101098;;0,500 KG;KOM;2,49;4,98;;;2,99;3856031208888;HRANA;
KRUSKA VILJAMOVKA;101101;;;KG;2,29;;;;2,29;;HRANA;
KRUSKA VILJAMOVKA CRVENA;101102;;;KG;2,49;;;;2,49;;HRANA;
KRUSKA   ABATA;101103;;;KG;2,49;;;;1,99;;HRANA;
JABUKA GALA PODLOZAK;101178;;;KOM;1,36;;;;1,36;3859893211362;HRANA;
BOROVNICE 500G.;101258;;;KOM;5,79;;;;5,99;3859893932021;HRANA;
BOROVNICA 125 G;101310;;0,125 KG;KOM;1,49;11,92;;;1,49;7800122000420;HRANA;
BOROVNICE 250G;101315;;;KOM;2,89;;;;3,49;3857500088314;HRANA;
GROZDJE BIJELO BEZ SJEMENA 500 G;101327;;;KOM;2,49;;;;2,49;3859892806491;HRANA;
GROZDJE ROSE 500 G;101334;;0,500 KG;KOM;2,49;4,98;;;2,49;9780201370003;HRANA;
KUKURUZ 2/1;101424;;;KOM;2,49;;;;2,39;3613078000109;HRANA;
BRESKVA;101502;;;KG;4,79;;;;2,29;84365512243;HRANA;
BRESKVA 500G;101509;;0,500 KG;KOM;2,49;4,98;;;2,79;3613070090009;HRANA;
JABUKA FUJI;101654;;;KG;;;1,15;1,69;1,69;;HRANA;
NEKTARINA;101801;;;KG;4,99;;;;4,49;;HRANA;
NEKTARINA 500G;101805;;0,500 KG;KOM;;3,38;1,69;2,49;2,79;3613070090016;HRANA;
DINJA;101896;;;KG;2,99;;;;3,79;;HRANA;
MARELICA;102005;;;KG;5,99;;;;2,29;;HRANA;
MARELICA 500G;102008;;0,500 KG;KOM;2,79;5,58;;;1,39;3613076000088;HRANA;
SLJIVA OKRUGLA;102107;;;KG;;;2,49;2,49;3,29;;HRANA;
JABUKA  CRVENA;102300;;;KG;1,19;;;;1,39;;HRANA;
JABUKA ZELENA;102301;;;KG;1,59;;;;1,49;;HRANA;
LIMUN;102304;;;KG;1,49;;;;1,49;;HRANA;
NARANCA;102306;;;KG;1,49;;;;,99;;HRANA;
NARANCA NATALIA;102308;;;KG;1,49;;;;1,49;;HRANA;
KLEMENTINA;102309;;;KG;1,99;;;;1,99;;HRANA;
MANDARINA;102310;;;KG;1,99;;;;1,99;;HRANA;
GROZDJE BEZ SJEMENKI;102312;;;KG;3,49;;;;3,99;;HRANA;
GROZDJE ROSE;102314;;;KG;3,99;;;;3,79;;HRANA;
KRUMPIR MLADI;102315;;;KG;,59;;;;,99;;HRANA;
SALATA PILETINA 175G;102342;;0,175 KG;KOM;2,75;15,71;;;2,75;3858893253020;HRANA;
SALATA SIR 160 G;102343;;0,160 KG;KOM;2,65;16,56;;;2,65;3858893250579;HRANA;
LUBENICA MINI;102500;;;KG;;;1,29;,99;1,99;;HRANA;
LUBENICA;102501;;;KG;1,39;;;;1,99;;HRANA;
TIKVA  BUTTERNUT;102505;;;KG;1,29;;;;1,29;;HRANA;
JAGODA 250 G;102904;;0,250 KG;KOM;1,79;7,16;;;1,79;3850334057266;HRANA;
KUPINA  250GR/KOM;102908;;0,250 KG;KOM;1,97;7,88;;;1,97;3859892029296;HRANA;
KUPINA 125G;102912;;;KOM;1,99;;;;1,99;8058056197665;HRANA;
AVOKADO KOM;103104;;0,200 KG;KOM;1,19;5,95;;;1,19;2010310400009;HRANA;
MANGO KOM;103106;;;KOM;1,29;;;;1,29;2010310600003;HRANA;
AVOKADO 4KOM READY TO EAT;103114;;;KOM;;;1,99;2,99;2,99;8028873015312;HRANA;
KUPUS MLADI;110101;;;KG;;;,99;,99;1,49;;HRANA;
KUPUS  ZELENI;110102;;;KG;,79;;;;,79;053112131;HRANA;
KUPUS CRVENI;110201;;;KG;1,19;;;;1,19;053112132;HRANA;
BRAZILSKI ORASCIC RINFUZO;110300;RINFUZO;;KG;15,99;;;;23,99;3859891427581;HRANA;
KELJ;110301;;;KG;1,49;;;;1,49;8057960790214;HRANA;
INDIJSKI ORAH RFS -SLANI;110308;RINFUZO;;KG;17,99;;;;17,99;;HRANA;
INDIJSKI ORAH , SUHO PRZENI SLANI 500 G;110336;EUROCOMPANY IN OUT;;KOM;5,79;;;;10,49;3872084015761;HRANA;
BROKULA KOM;110366;;0,500 KG;KOM;1,49;2,98;;;1,49;3613076000095;HRANA;
INDIJSKI ORASCIC SIROVI 500 GR;110370;EUROCOMPANY IN OUT;;KOM;4,99;;;;4,99;3872084015310;HRANA;
KRUMPIR 5 KG;110405;;5 KG;KOM;3,49;0,70;;;3,49;3857500091000;HRANA;
KRUMPIR GIRO 4 KG OPRAN;110408;;4 KG;KOM;4,99;1,25;;;4,99;8028772001904;HRANA;
BATAT;110411;;;KG;2,29;;;;1,99;3859891443239;HRANA;
KRUMPIR-OGULINSKI 5/1;110415;;5 KG;KOM;3,99;0,80;;;3,99;3859889293129;HRANA;
LUK LJUBICASTI;110702;;;KG;1,29;;;;1,29;;HRANA;
LUK ZUTI;110703;;;KG;,84;;;;,84;3856022674227;HRANA;
LUK  ZUTI  - DOMACI 40/60;110709;;;KG;1,39;;;;1,39;;HRANA;
LUK ZUTI 4 KOM;110711;;0,500 KG;KOM;,99;1,98;;;,99;3857500102119;HRANA;
LUK LJUBICASTI  4 KOM;110712;;0,500 KG;KOM;1,19;2,38;;;1,19;3857500102133;HRANA;
LUK LJUBICASTI 1 KG;110715;;1 KG;KOM;1,29;1,29;;;1,29;9004331006039;HRANA;
CESNJAK RINFUZO;110801;;;KG;4,99;;;;4,99;;HRANA;
CESNJAK MLADI;110902;;;KG;3,99;;;;3,99;;HRANA;
CIKLA;111001;;;KG;,79;;;;,79;;HRANA;
MATOVILAC  100 G;111104;;0,100 KG;KOM;,99;9,90;;;,99;3857500075703;HRANA;
BLITVA VEZICA;111119;;;KOM;;;,79;,79;1,49;3859893446306;HRANA;
OBITELJSKA MJESAVINA 400G;111141;;0,400 KG;KOM;1,79;4,48;;;1,79;3858893250371;HRANA;
SALATA POSUDICA TUNA 170G;111144;;;KOM;2,65;;;;2,65;3858893250555;HRANA;
SPINAT VEZICA;111204;;;KOM;1,11;;;;1,11;;HRANA;
SALATA S KUKURUZOM 200 G;111254;;0,200 KG;KOM;1,49;7,45;;;1,49;8012566191919;HRANA;
SALATA PUTARICA  KOMAD;111299;;0,300 KG;KOM;,99;3,30;;;,99;;HRANA;
SALATA ENDIVIJA;111301;;;KG;1,11;;;;1,11;8057960790153;HRANA;
SALATA KRISTALKA -KOMAD;111305;;0,300 KG;KOM;,79;2,63;;;,89;;HRANA;
SALATA  HRASTOV LIST CRVENI - KOM;111306;;;KOM;,99;;;;,99;8722800085026;HRANA;
SALATA MISTICANZA 100 G;111316;;0,100 KG;KOM;,89;8,90;;;,89;8012566009627;HRANA;
SPINAT  500 G;111320;;0,500 KG;KOM;1,99;3,98;;;1,99;8015021000108;HRANA;
SALATA MIX 200 G;111322;;0,200 KG;KOM;1,19;5,95;;;1,19;8012566000044;HRANA;
SALATA ICEBERG KOM;111347;;0,300 KG;KOM;1,29;4,30;;;1,49;8058056198877;HRANA;
SALATA ZELENA 100 G;111366;;0,100 KG;KOM;,89;8,90;;;,89;8012566000495;HRANA;
RADIC CRVENI;111501;;;KG;3,49;;;;3,49;8057960790313;HRANA;
BIO RAJCICA SLJIVAR CHERRY 250 G;111799;;;KOM;1,29;;;;1,89;8436557064622;HRANA;
MRKVA RINFUZO;111801;;;KG;,79;;;;,79;;HRANA;
MRKVA PAKIRANA 1 KG;111802;;1 KG;KOM;1,29;1,29;;;1,29;3859891082858;HRANA;
BIO MRKVA 500G;111807;;;KOM;1,39;;;;1,59;3830070890341;HRANA;
BIO LIMUN 500 G;111824;;0,500 KG;KOM;1,49;2,98;;;1,49;3830070890006;HRANA;
BIO NARANCA 1KG;111825;;;KOM;1,99;;;;1,99;3830070890013;HRANA;
BIO KRASTAVAC SALATNI;111858;;;KOM;,99;;;;1,09;843657064165;HRANA;
